,Source Account,Text,Date,Tweets Ago,Compound,Positive,Neutral,Negative
0,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:37:02 +0000 2018,1,-0.3174,0.151,0.226,0.623
1,@BBC,@BBC @BBCWorld @BBCBreaking @AboutTheBBC @BBCSport @BBCNews,Wed Jun 13 22:36:49 +0000 2018,2,0.0,0.0,0.0,1.0
2,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:36:39 +0000 2018,3,-0.3174,0.151,0.226,0.623
3,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:36:05 +0000 2018,4,-0.3174,0.151,0.226,0.623
4,@BBC,@davetelsheff @chrisk_hw @solange_lebourg @bbcquestiontime @carolecadwalla @BBC Ah bless. A remainer bedwetter whin… https://t.co/dcPOE2WttB,Wed Jun 13 22:35:50 +0000 2018,5,0.4215,0.203,0.0,0.797
5,@BBC,RT @drmpwalsh: @solange_lebourg @bbcquestiontime @carolecadwalla @BBC I dont watch QT.  There is seldom evidenced debate. It's more a platf…,Wed Jun 13 22:35:45 +0000 2018,6,-0.4356,0.0,0.152,0.848
6,@BBC,"RT @funmioyatogun: Wow. Still in shock! I was live on @bbc with @justrioba, hosted by @kacungira. What an honor to speak about my Africa tr…",Wed Jun 13 22:35:35 +0000 2018,7,0.69,0.236,0.084,0.68
7,@BBC,RT @Naijadailyfeed: Second part of the video of SARS officials harrassing young guys in Ogun state @policeng @PoliceNG_PCRRU @bbc @cnni @BB…,Wed Jun 13 22:35:28 +0000 2018,8,0.0,0.0,0.0,1.0
8,@BBC,RT @BBC: 😁 Russian workers being taught how to smile more ahead of the World Cup.  https://t.co/Qv9BoVmX25,Wed Jun 13 22:35:24 +0000 2018,9,0.3612,0.143,0.0,0.857
9,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:35:14 +0000 2018,10,-0.3174,0.151,0.226,0.623
10,@BBC,RT @Naijadailyfeed: Second part of the video of SARS officials harrassing young guys in Ogun state @policeng @PoliceNG_PCRRU @bbc @cnni @BB…,Wed Jun 13 22:35:13 +0000 2018,11,0.0,0.0,0.0,1.0
11,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:35:00 +0000 2018,12,-0.3174,0.151,0.226,0.623
12,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:34:54 +0000 2018,13,-0.3174,0.151,0.226,0.623
13,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:34:50 +0000 2018,14,-0.3174,0.151,0.226,0.623
