City Name,Country Code,Lat,Lon
saldanha,za,-38.62,0.11
tiksi,ru,82.01,128.62
tawkar,sd,18.37,38.44
halifax,ca,40.92,-62.16
taolanaro,mg,-47.21,56.51
port elizabeth,za,-78.26,31.34
saskylakh,ru,79.67,120.13
kalmunai,lk,7.44,87.99
vaini,to,-25.43,-170.84
busselton,au,-46.47,107.13
mataura,pf,-74.84,-147.03
umm kaddadah,sd,15.76,28.11
faanui,pf,-3.69,-153.49
chuy,uy,-45.58,-42.11
prince rupert,ca,54.84,-130.87
dudinka,ru,72.3,85.67
port alfred,za,-89.94,44.7
tuktoyaktuk,ca,76.65,-126.78
khalandrion,gr,38.04,23.78
rehoboth,na,-23.82,17.08
vanimo,pg,0.09,141.5
taltal,cl,-25.07,-70.1
pacific grove,us,29.16,-133.47
grand gaube,mu,-12.12,62.47
bengkulu,id,-21.32,88.34
kapaa,us,27.21,-167.47
katherine,au,-14.06,131.42
rikitea,pf,-23.86,-139.92
nizwa,om,19.85,57.22
los llanos de aridane,es,26.43,-26.69
palu,id,1.31,120.29
albany,au,-53.06,117.56
chicama,pe,-11.4,-85.51
beckley,us,37.65,-80.97
te anau,nz,-44.96,167.66
bilma,ne,19.34,13.62
yellowknife,ca,82.11,-108.28
jamestown,sh,-34.26,-14.47
thompson,ca,71.9,-97.35
ambilobe,mg,-8.75,48.94
kichmengskiy gorodok,ru,60.4,45.62
ferma,ru,57.88,56.35
bluff,nz,-66.47,171.9
pangody,ru,69.69,74.12
namibe,ao,-15.59,6.14
aiken,us,33.39,-81.47
samut sakhon,th,13.59,100.26
alice springs,au,-26.79,136.79
moussoro,td,14.49,16.38
buraydah,sa,26.81,42.3
newport,us,45.73,-127.75
iqaluit,ca,60.93,-68.05
bethel,us,48.97,-168.48
hobart,au,-84.55,150.42
airai,pw,10.8,135.11
xining,cn,35.36,101.07
samusu,ws,-11.64,-167.16
najran,sa,17.07,44.12
fortuna,us,34.88,-138.89
castro,cl,-50.0,-97.87
albania,co,11.35,-72.5
cherskiy,ru,74.36,158.94
lompoc,us,32.93,-122.82
dianopolis,br,-11.86,-47.3
ha tinh,vn,18.69,106.45
broome,au,-16.13,120.68
dingle,ie,50.25,-19.95
biak,id,2.17,136.6
guerrero negro,mx,24.43,-118.31
ler,sd,7.99,30.34
kitakata,jp,37.44,139.76
umzimvubu,za,-52.37,46.38
ushuaia,ar,-76.55,-32.31
hun,ly,27.55,16.02
kaitangata,nz,-60.4,177.26
mackay,au,-20.81,150.72
la ronge,ca,58.19,-107.58
barentsburg,sj,84.51,-3.22
illoqqortoormiut,gl,72.81,-16.69
saint-philippe,re,-27.88,59.69
odienne,ci,9.42,-7.95
norrtalje,se,59.24,18.85
acapulco,mx,5.69,-102.91
kloulklubed,pw,3.96,136.23
chapais,ca,54.27,-72.14
dunedin,nz,-54.48,178.91
birao,cf,9.76,21.63
hermanus,za,-47.78,11.52
cape town,za,-75.1,-11.07
sao filipe,cv,4.99,-24.09
ondorhaan,mn,47.36,110.06
cochrane,ca,49.16,-81.69
amderma,ru,72.23,62.35
barrow,us,70.48,-160.65
upernavik,gl,81.68,-55.78
mandeville,us,30.35,-89.99
buchanan,lr,-0.17,-13.32
faya,td,20.1,21.55
esperance,au,-38.05,121.6
miri,my,6.0,112.79
souillac,mu,-38.82,66.97
marquette,us,45.96,-88.16
hasaki,jp,34.39,142.34
gurgan,az,39.93,50.98
jaisalmer,in,26.68,70.29
buin,pg,-6.86,156.83
zhigansk,ru,68.43,121.74
santa fe,cu,20.94,-82.44
dikson,ru,84.02,79.12
lincoln,ar,-35.01,-61.16
port hedland,au,-24.05,123.51
alenquer,br,-0.9,-54.36
khatanga,ru,76.54,107.48
punta arenas,cl,-70.78,-98.35
rawson,ar,-48.7,-58.5
nanortalik,gl,53.86,-45.01
