City Name,Cloudness,Country Code,Humidity,Latitude,Longitude,Temperature,Wind
nouakchott,0,mr,90,18.08,-15.98,72.05,13.15
takanabe,75,jp,94,32.13,131.49,73.4,2.24
emerald,0,au,38,-23.53,148.16,72.5,10.54
sao joao da barra,56,br,100,-21.64,-41.05,72.05,10.36
rikitea,12,pf,100,-23.12,-134.97,70.7,10.42
muros,90,es,93,42.77,-9.06,55.4,8.05
nizwa,0,om,31,22.93,57.53,97.43,4.88
souillac,90,mu,100,45.6,-0.6,59.0,6.93
hithadhoo,24,mv,100,-0.6,73.08,83.48,12.59
kapaa,20,us,78,22.08,-159.32,75.2,16.11
albany,20,au,76,42.65,-73.75,52.2,6.93
ushuaia,64,ar,100,-54.81,-68.31,22.37,4.61
punta arenas,40,cl,92,-53.16,-70.91,30.2,3.36
mizdah,100,ly,16,31.45,12.98,89.69,3.98
hermanus,12,za,68,-34.42,19.24,59.09,8.08
busselton,68,au,100,-33.64,115.35,60.98,10.02
nanortalik,92,gl,92,60.14,-45.24,35.42,17.92
zonguldak,75,tr,77,41.25,31.83,69.8,8.05
saldanha,88,za,91,41.42,-6.55,49.64,2.75
dali,68,cn,49,25.6,100.24,77.27,2.3
durango,1,us,35,37.28,-107.88,59.09,5.82
pangkalanbuun,12,id,68,-2.68,111.62,90.95,5.73
faanui,88,pf,100,-16.48,-151.75,81.32,19.04
mar del plata,0,ar,100,-46.43,-67.52,23.99,3.27
saint-pierre,90,pm,100,48.95,4.24,63.59,9.17
korem,36,et,49,12.51,39.52,73.13,3.04
mataura,80,pf,91,-46.19,168.86,46.67,14.05
inuvik,90,ca,84,68.36,-133.71,33.58,6.93
novoderevyankovskaya,76,ru,94,46.33,38.75,67.28,0.51
husavik,0,is,63,50.56,-96.99,52.34,3.87
tual,12,id,98,-5.67,132.75,82.4,13.78
cape town,20,za,93,-33.93,18.42,57.2,13.87
chiang klang,40,th,49,19.29,100.86,93.2,6.93
nelson bay,75,au,59,-32.72,152.14,66.2,6.93
nikolskoye,40,ru,54,59.7,30.79,53.6,15.66
east london,0,za,38,-33.02,27.91,60.8,12.75
aitape,80,pg,86,-3.15,142.36,85.28,9.86
nazarovo,32,ru,74,56.01,90.42,71.78,1.3
hilo,90,us,88,19.71,-155.08,61.16,3.36
yarada,48,in,100,17.65,83.27,85.1,22.44
bluff,0,nz,38,-23.58,149.07,72.86,9.24
barrow,92,us,92,-38.31,-60.23,49.37,18.3
tasiilaq,92,gl,87,65.61,-37.64,42.8,16.11
saskylakh,0,ru,63,71.97,114.09,62.15,6.62
kalengwa,0,zm,75,-13.47,25.0,45.95,7.85
maungaturoto,64,nz,100,-36.11,174.36,53.78,25.86
tvrdonice,75,cz,55,48.76,16.99,62.89,11.41
pacific grove,40,us,82,36.62,-121.92,54.93,6.93
bismarck,75,us,62,46.81,-100.78,59.95,6.93
selma,1,us,55,36.57,-119.61,66.87,14.99
sabha,80,ly,17,27.03,14.43,90.5,12.55
bambanglipuro,88,id,64,-7.95,110.28,85.1,5.55
morros,75,br,94,-2.87,-44.04,77.0,4.7
esperance,20,au,88,10.24,-61.45,77.0,3.36
victoria,75,mx,75,5.28,115.24,91.44,5.82
platanos,0,gr,45,35.47,23.6,82.4,6.93
guerrero negro,48,mx,100,27.97,-114.04,59.9,9.91
yulara,64,au,10,-25.24,130.99,78.8,10.29
cockburn town,68,tc,96,21.46,-71.14,80.78,19.04
muncar,48,id,79,-8.43,114.34,83.03,6.29
iqaluit,90,ca,68,63.75,-68.52,30.2,10.29
clyde river,88,ca,95,70.47,-68.59,29.03,23.33
komsomolskiy,0,ru,96,67.55,63.78,35.24,14.16
puerto ayora,68,ec,100,-0.74,-90.35,73.4,11.59
vila franca do campo,20,pt,82,37.72,-25.43,60.8,5.82
caravelas,8,br,100,-17.73,-39.27,76.46,11.59
nortelandia,8,br,87,-14.45,-56.8,61.25,2.37
lebu,24,cl,98,8.96,38.73,60.62,3.53
constitucion,48,mx,23,23.99,-104.67,73.4,8.3
nishihara,20,jp,48,35.74,139.53,80.58,11.41
atuona,92,pf,100,-9.8,-139.03,78.17,20.04
sandakan,24,my,100,5.84,118.12,85.1,4.83
bayir,0,jo,50,37.27,28.22,78.8,2.24
necochea,92,ar,100,-38.55,-58.74,49.37,15.35
vaini,92,to,90,15.34,74.49,76.64,6.55
mata,20,cn,88,22.63,-79.93,73.4,4.7
butaritari,76,ki,100,3.07,172.79,84.38,7.63
talnakh,0,ru,79,69.49,88.39,41.72,19.86
viedma,92,ar,73,-40.81,-62.99,50.09,14.9
deputatskiy,0,ru,60,69.3,139.9,63.5,5.21
port lincoln,76,au,84,-34.72,135.86,61.7,27.76
flinders,40,au,59,-34.58,150.85,64.4,8.05
bredasdorp,8,za,86,-34.53,20.04,41.0,2.24
peno,44,ru,58,56.92,32.74,52.79,14.45
upernavik,76,gl,84,72.79,-56.15,34.25,14.9
taoudenni,0,ml,24,22.68,-3.98,75.02,9.91
mayumba,88,ga,96,-3.44,10.65,74.84,4.5
norman wells,40,ca,47,65.28,-126.83,55.4,3.36
vestmannaeyjar,0,is,95,63.44,-20.27,46.31,2.75
ust-nera,0,ru,48,64.57,143.24,55.4,2.26
gatesville,1,us,69,31.44,-97.74,80.6,4.7
thompson,40,ca,93,55.74,-97.86,46.4,4.7
goderich,56,sl,57,43.74,-81.71,55.49,12.26
kiboga,56,ug,93,0.92,31.77,68.72,1.97
gamba,12,ga,71,28.28,88.52,38.03,1.25
cayenne,90,gf,100,4.94,-52.33,75.2,4.76
san quintin,75,mx,59,17.54,120.52,93.2,11.41
lompoc,90,us,82,34.64,-120.46,55.42,10.29
yellowknife,75,ca,63,62.45,-114.38,41.0,4.7
karasjok,75,no,64,69.47,25.52,41.0,16.11
sharjah,20,ae,24,25.36,55.39,104.34,12.75
tanout,0,ne,58,14.97,8.88,76.1,8.57
portales,1,us,43,34.19,-103.33,72.25,11.59
suluq,0,ly,54,31.67,20.25,84.2,29.97
port alfred,0,za,78,-33.59,26.89,63.05,9.08
porbandar,40,in,59,21.64,69.61,93.2,13.87
seymchan,36,ru,39,62.93,152.39,58.55,7.34
luganville,92,vu,100,-15.51,167.18,74.75,10.02
leningradskiy,8,ru,97,69.38,178.42,31.28,10.09
pithiviers,90,fr,93,48.17,2.25,61.41,9.17
ribeira grande,20,pt,76,38.52,-28.7,57.2,2.24
georgetown,75,sh,100,6.8,-58.16,75.2,4.7
alexandria,1,us,83,31.31,-92.44,68.45,3.2
dikson,24,ru,93,73.51,80.55,34.07,20.71
luderitz,0,na,63,-26.65,15.16,57.83,3.49
hami,44,cn,29,42.84,93.51,82.85,1.86
nyimba,0,zm,69,-14.56,30.81,55.49,4.05
grimshaw,75,ca,81,56.19,-117.61,46.4,2.24
altayskoye,32,ru,50,51.95,85.34,78.44,9.57
pevek,36,ru,99,69.7,170.27,32.27,12.77
padang,8,id,100,-0.92,100.36,82.04,6.11
cabo san lucas,5,mx,57,22.89,-109.91,77.0,9.86
pangody,92,ru,85,65.85,74.49,38.66,2.98
qaanaaq,0,gl,89,77.48,-69.36,22.55,5.77
periyapatti,36,in,55,11.22,78.15,90.14,19.71
oranjemund,0,na,82,-28.55,16.43,64.58,7.85
crotone,0,it,50,39.09,17.12,78.8,4.7
coquimbo,0,cl,76,-29.95,-71.34,48.2,5.82
gouloure,0,bf,88,12.23,-1.93,77.0,6.93
maniitsoq,92,gl,93,65.42,-52.9,34.34,6.22
katsuura,75,jp,69,33.93,134.5,77.0,6.93
kalabo,0,zm,50,-15.0,22.67,48.02,6.85
praia,0,cv,93,-20.25,-43.81,59.0,2.82
yumen,36,cn,36,40.29,97.04,68.72,6.51
airai,0,pw,43,-8.93,125.41,84.38,0.85
tocopilla,0,cl,93,-22.09,-70.2,56.3,3.2
riyadh,0,sa,13,24.63,46.72,102.2,4.7
lakeside,90,us,77,32.86,-116.92,61.84,6.93
dalvik,0,is,67,57.79,14.13,62.6,10.29
yakeshi,76,cn,45,49.28,120.73,68.81,9.08
rotenburg,0,de,45,53.12,9.4,63.91,11.41
iguala,88,mx,97,18.34,-99.54,61.97,2.19
khorramshahr,0,ir,19,30.43,48.18,103.82,13.87
sangar,8,ru,36,63.92,127.47,71.51,4.83
ust-tarka,44,ru,38,55.56,75.71,82.94,11.25
nantucket,1,us,87,41.28,-70.1,48.56,8.05
san cristobal,75,ec,87,-0.39,-78.55,51.8,2.24
jamestown,36,sh,31,-33.21,138.6,62.69,19.08
mount gambier,64,au,58,-37.83,140.78,58.46,12.93
avera,1,pf,94,33.19,-82.53,70.18,2.59
buala,64,sb,92,-8.15,159.59,82.94,4.54
medicine hat,1,ca,51,50.04,-110.68,59.0,4.7
dwarka,20,in,42,28.58,77.04,100.4,6.93
loa janan,56,id,84,-0.58,117.09,83.84,2.98
chambersburg,1,us,93,39.94,-77.66,54.63,2.37
abha,20,sa,42,18.22,42.5,80.6,12.75
kodiak,75,us,77,39.95,-94.76,69.8,8.05
quelimane,75,mz,93,-17.88,36.89,62.6,11.41
arman,75,ru,54,59.7,150.17,59.0,4.47
isabela,88,us,76,10.2,122.99,83.57,9.24
sisimiut,92,gl,90,66.94,-53.67,34.52,3.76
bandarbeyla,0,so,82,9.49,50.81,79.07,23.33
haapiti,40,pf,78,-17.57,-149.87,78.8,2.24
tevriz,0,ru,29,57.51,72.4,83.75,10.31
rio grande,0,br,100,-32.03,-52.1,47.48,12.15
kloulklubed,90,pw,79,7.04,134.26,85.08,10.29
huarmey,8,pe,91,-10.07,-78.15,52.88,2.48
lucea,20,jm,83,18.44,-78.17,80.6,3.36
bykovo,12,ru,66,49.76,45.39,63.5,6.73
lewiston,1,us,49,46.42,-117.02,62.13,8.05
zhigansk,0,ru,26,66.77,123.37,73.76,5.61
abnub,0,eg,39,27.27,31.15,78.8,8.05
jumla,0,np,70,29.28,82.18,53.78,1.7
tuatapere,64,nz,100,-46.13,167.69,46.04,11.65
carnarvon,12,au,53,-30.97,22.13,34.97,6.73
castro,56,cl,100,-42.48,-73.76,38.39,5.99
boueni,20,yt,57,-12.9,45.08,80.6,14.99
severo-kurilsk,92,ru,98,50.68,156.12,38.57,15.39
sunyani,80,gh,96,7.34,-2.33,72.77,4.76
lira,68,ug,99,2.25,32.9,68.72,4.54
fremont,1,us,71,37.55,-121.99,56.68,3.36
dangriga,92,bz,92,16.97,-88.23,82.67,13.94
torbay,90,ca,100,47.66,-52.73,35.6,6.93
saint-philippe,90,re,87,45.36,-73.48,54.72,5.82
chhuikhadan,12,in,69,21.52,81.0,91.04,9.08
liaoyang,20,cn,61,41.27,123.17,77.0,11.18
sorland,40,no,75,67.67,12.69,40.01,16.11
vardo,1,no,93,39.62,-77.74,54.9,2.08
