City Name,Country Code,Lat,Lon
rikitea,pf,-54.79,-119.58
navirai,br,-23.09,-54.53
petropavlovsk-kamchatskiy,ru,47.42,164.25
barrow,us,84.39,-164.15
oksfjord,no,73.37,21.85
georgetown,sh,-0.46,-21.48
hilo,us,16.78,-148.0
bambous virieux,mu,-37.63,78.87
punta arenas,cl,-86.28,-116.35
pavia,it,45.11,9.06
hithadhoo,mv,-4.69,76.77
paamiut,gl,65.0,-48.63
kapaa,us,28.2,-158.31
mataura,pf,-53.79,-155.98
aklavik,ca,66.17,-134.53
sao joao da barra,br,-23.33,-37.12
chokurdakh,ru,88.47,149.1
cape town,za,-79.66,-9.9
tasiilaq,gl,57.2,-36.78
bredasdorp,za,-38.29,21.13
mahebourg,mu,-49.51,75.23
florence,us,34.88,-87.53
sao filipe,cv,11.57,-30.11
manyana,bw,-23.45,21.8
taolanaro,mg,-35.49,51.19
gazli,uz,42.7,63.73
vao,nc,-25.81,174.5
yashkul,ru,46.69,45.25
norman wells,ca,63.82,-128.39
yerbogachen,ru,65.9,106.47
nizhneyansk,ru,78.99,134.61
khatanga,ru,78.62,101.66
cidreira,br,-53.18,-28.24
haines junction,ca,62.67,-139.12
tarakan,id,2.56,117.14
hermanus,za,-82.72,12.54
illoqqortoormiut,gl,77.78,-17.02
matamoros,mx,25.21,-93.77
khani,ru,58.28,121.12
culipapa,ph,9.3,122.36
busselton,au,-58.24,97.23
halasztelek,hu,47.35,18.99
saint-philippe,re,-42.1,60.11
tsihombe,mg,-47.27,49.07
cabo san lucas,mx,12.15,-122.42
kumasi,gh,6.63,-1.53
tabou,ci,-2.86,-5.74
puerto ayora,ec,0.8,-91.46
yellowknife,ca,72.17,-111.78
ushuaia,ar,-69.91,-59.14
fortuna,us,38.06,-127.53
port elizabeth,za,-63.38,33.45
sitka,us,51.79,-137.95
ranot,th,7.95,100.41
yar-sale,ru,76.95,70.44
chuy,uy,-43.18,-45.45
saskylakh,ru,71.8,116.95
jamestown,sh,-14.07,-0.46
ribeira grande,pt,39.27,-41.85
thompson,ca,70.82,-88.76
albany,au,-88.14,92.16
castro,cl,-42.94,-74.91
ibra,om,22.35,58.24
raga,sd,8.63,24.68
mahadday weyne,so,3.16,47.18
punta alta,ar,-39.0,-61.14
san antonio,cl,-33.29,-73.26
jerantut,my,4.21,102.53
halalo,wf,-14.49,-176.91
vardo,no,86.4,36.06
abeche,td,14.16,20.31
provideniya,ru,53.64,-176.09
zwedru,lr,5.28,-8.06
nadvoitsy,ru,63.88,34.03
cocula,mx,18.19,-99.7
iqaluit,ca,56.75,-69.74
ilinsko-podomskoye,ru,60.76,48.39
yalta,ua,46.67,37.1
arraial do cabo,br,-48.37,-26.88
portland,au,-51.97,134.46
adrar,dz,26.62,3.18
nanortalik,gl,51.14,-38.08
new norfolk,au,-54.67,133.17
pacureti,ro,45.13,26.14
atuona,pf,-8.59,-145.8
carutapera,br,-0.08,-45.51
nikolskoye,ru,31.03,177.86
butaritari,ki,26.61,167.84
upernavik,gl,87.2,-50.73
tiksi,ru,79.71,129.97
kaitangata,nz,-55.56,174.12
moose factory,ca,50.3,-80.26
soltsy,ru,57.96,30.4
murdochville,ca,49.53,-65.14
bentiu,sd,8.95,30.52
